task_instance_id,task_definition_id,task_name,task_scope,task_status,station_id,station_name,worker_id,worker_name,work_order_id,project_name,house_identifier,house_type_id,house_type_name,module_number,work_unit_id,panel_unit_id,panel_definition_id,panel_code,started_at,completed_at,duration_minutes,pause_minutes
32,8,Retape de Corchetes,panel,Completed,4,Mesa 2,14,Eduardo Andres Ormeño Parra,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 10:07:30.600000,2026-01-13 10:19:15,11.74,0.0
33,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,7,Pedro Ángel Cea Arias,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 10:19:15,2026-01-13 10:29:22.800000,10.13,0.0
34,15,Corcheteado PLA,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 10:47:30.600000,2026-01-13 10:58:44.400000,11.23,0.0
35,16,Fresado PLA,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 10:58:44.400000,2026-01-13 11:09:24,10.66,0.0
36,22,Instalación Plancha de MDP,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 11:09:24,2026-01-13 11:23:25.200000,14.02,0.0
37,20,Colgar panel en magazine ,panel,Completed,9,Puente 4,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 11:23:25.200000,2026-01-13 11:32:07.800000,8.71,0.0
38,18,Retape de corchetes PLA,panel,Completed,9,Puente 4,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100003,12,"MW-3 (T-06, T-07, T-08)",2026-01-13 11:32:07.800000,2026-01-13 11:44:28.800000,12.35,0.0
39,1,Armado Panel,panel,Completed,1,Framing,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 09:31:53.400000,2026-01-13 09:42:27,10.56,0.0
40,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 09:42:27.600000,2026-01-13 09:50:01.200000,7.56,0.0
41,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 10:07:30.600000,2026-01-13 10:21:31.200000,14.01,0.0
42,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 10:21:31.200000,2026-01-13 10:28:37.200000,7.1,0.0
43,8,Retape de Corchetes,panel,Completed,4,Mesa 2,6,Juan Alex Elias Troncoso Cifuentes,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 10:28:37.200000,2026-01-13 10:37:07.800000,8.51,0.0
44,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,14,Eduardo Andres Ormeño Parra,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 10:37:07.800000,2026-01-13 10:43:52.800000,6.75,0.0
45,15,Corcheteado PLA,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 11:23:25.200000,2026-01-13 11:29:57.600000,6.54,0.0
46,16,Fresado PLA,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 11:29:57.600000,2026-01-13 11:37:21,7.39,0.0
47,22,Instalación Plancha de MDP,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 11:37:21,2026-01-13 11:47:55.800000,10.58,0.0
48,20,Colgar panel en magazine ,panel,Completed,9,Puente 4,10,Alvaro Esteban Capilla Villarreol,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 11:47:55.800000,2026-01-13 11:57:16.800000,9.35,0.0
49,18,Retape de corchetes PLA,panel,Completed,9,Puente 4,8,Alejandro Alexis Palma Zenteno,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100004,14,T-06,2026-01-13 11:57:16.800000,2026-01-13 12:02:58.200000,5.69,0.0
50,1,Armado Panel,panel,Completed,1,Framing,1,Jonathan Miguel Iturra Barrientos,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 09:42:27,2026-01-13 09:59:50.400000,17.39,0.0
51,3,Instalación Membrana y planchas,panel,Completed,2,Mesa 1,13,Jonathan Alexis Budaleo Alarcon,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 09:59:50.400000,2026-01-13 10:16:34.800000,16.74,0.0
52,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,3,Juan Miguel Jara Lafargue,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 10:28:37.200000,2026-01-13 10:36:07.200000,7.5,0.0
53,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,12,Oscar Enrique Pincheira Osses,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 10:36:07.200000,2026-01-13 10:45:19.200000,9.2,0.0
54,11,Pintura de Piso,panel,Completed,4,Mesa 2,5,Jorge Dan Jara Domínguez,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 10:45:19.200000,2026-01-13 11:06:15.600000,20.94,0.0
55,12,Instalación de soleras,panel,Completed,5,Puente 2,6,Juan Alex Elias Troncoso Cifuentes,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 11:06:15.600000,2026-01-13 11:17:15.600000,11.0,0.0
56,13,Instalación de lana,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 11:47:55.800000,2026-01-13 11:56:24.600000,8.48,0.0
57,19,Aplicacion de colafria y Fijación de planchas ,panel,Completed,9,Puente 4,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 12:02:58.200000,2026-01-13 12:15:39,12.68,0.0
58,23,Clavado Piso PLA,panel,Completed,9,Puente 4,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 12:15:39,2026-01-13 12:32:25.200000,16.77,0.0
59,24,Fresado Piso PLA ,panel,Completed,9,Puente 4,10,Alvaro Esteban Capilla Villarreol,900000,Synthetic-1,SYN-1-01,1,TH Jardines,1,1000000,1100005,13,P-01,2026-01-13 12:32:25.200000,2026-01-13 12:35:56.400000,3.52,0.0
60,1,Armado Panel,panel,Completed,1,Framing,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100006,1,C-12,2026-01-13 09:59:50.400000,2026-01-13 10:19:48,19.96,0.0
61,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100006,1,C-12,2026-01-13 10:19:48,2026-01-13 10:34:26.400000,14.64,0.0
62,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100006,1,C-12,2026-01-13 10:45:19.200000,2026-01-13 11:04:43.800000,19.41,0.0
63,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100006,1,C-12,2026-01-13 11:04:43.800000,2026-01-13 11:15:24,10.67,0.0
64,8,Retape de Corchetes,panel,Completed,4,Mesa 2,14,Eduardo Andres Ormeño Parra,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100006,1,C-12,2026-01-13 11:15:24,2026-01-13 11:30:06.600000,14.71,0.0
65,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,5,Jorge Dan Jara Domínguez,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100006,1,C-12,2026-01-13 11:30:06.600000,2026-01-13 11:38:51.600000,8.75,0.0
66,13,Instalación de lana,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100006,1,C-12,2026-01-13 11:56:24.600000,2026-01-13 12:06:19.200000,9.91,0.0
67,20,Colgar panel en magazine ,panel,Completed,9,Puente 4,8,Alejandro Alexis Palma Zenteno,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100006,1,C-12,2026-01-13 12:35:56.400000,2026-01-13 12:42:32.400000,6.6,0.0
68,1,Armado Panel,panel,Completed,1,Framing,1,Jonathan Miguel Iturra Barrientos,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100007,2,M-03,2026-01-13 10:19:48,2026-01-13 10:35:36,15.8,0.0
69,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,12,Oscar Enrique Pincheira Osses,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100007,2,M-03,2026-01-13 10:35:36,2026-01-13 10:45:19.800000,9.73,0.0
70,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,3,Juan Miguel Jara Lafargue,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100007,2,M-03,2026-01-13 11:15:24,2026-01-13 11:27:02.400000,11.64,0.0
71,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,12,Oscar Enrique Pincheira Osses,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100007,2,M-03,2026-01-13 11:27:02.400000,2026-01-13 11:38:07.800000,11.09,0.0
72,8,Retape de Corchetes,panel,Completed,4,Mesa 2,6,Juan Alex Elias Troncoso Cifuentes,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100007,2,M-03,2026-01-13 11:38:07.800000,2026-01-13 11:48:02.400000,9.91,0.0
73,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,7,Pedro Ángel Cea Arias,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100007,2,M-03,2026-01-13 11:48:02.400000,2026-01-13 11:57:20.400000,9.3,0.0
74,13,Instalación de lana,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100007,2,M-03,2026-01-13 12:06:19.200000,2026-01-13 12:16:08.400000,9.82,0.0
75,20,Colgar panel en magazine ,panel,Completed,9,Puente 4,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100007,2,M-03,2026-01-13 12:42:32.400000,2026-01-13 12:50:52.800000,8.34,0.0
76,1,Armado Panel,panel,Completed,1,Framing,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100008,3,M-05,2026-01-13 10:35:36,2026-01-13 10:58:00,22.4,0.0
77,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100008,3,M-05,2026-01-13 10:58:00,2026-01-13 11:11:38.400000,13.64,0.0
78,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100008,3,M-05,2026-01-13 11:38:07.800000,2026-01-13 11:47:41.400000,9.56,0.0
79,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100008,3,M-05,2026-01-13 11:47:41.400000,2026-01-13 12:00:04.200000,12.38,0.0
80,8,Retape de Corchetes,panel,Completed,4,Mesa 2,5,Jorge Dan Jara Domínguez,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100008,3,M-05,2026-01-13 12:00:04.200000,2026-01-13 12:07:49.800000,7.76,0.0
81,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,14,Eduardo Andres Ormeño Parra,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100008,3,M-05,2026-01-13 12:07:49.800000,2026-01-13 12:14:55.800000,7.1,0.0
82,13,Instalación de lana,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100008,3,M-05,2026-01-13 12:16:08.400000,2026-01-13 12:22:48.600000,6.67,0.0
83,20,Colgar panel en magazine ,panel,Completed,9,Puente 4,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100008,3,M-05,2026-01-13 12:50:52.800000,2026-01-13 12:58:57.600000,8.08,0.0
84,1,Armado Panel,panel,Completed,1,Framing,1,Jonathan Miguel Iturra Barrientos,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100009,4,Vigas Cajón,2026-01-13 10:58:00,2026-01-13 11:12:13.200000,14.22,0.0
85,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,13,Jonathan Alexis Budaleo Alarcon,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100009,4,Vigas Cajón,2026-01-13 11:12:13.200000,2026-01-13 11:30:31.200000,18.3,0.0
86,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,3,Juan Miguel Jara Lafargue,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100009,4,Vigas Cajón,2026-01-13 12:00:04.200000,2026-01-13 12:09:53.400000,9.82,0.0
87,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,12,Oscar Enrique Pincheira Osses,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100009,4,Vigas Cajón,2026-01-13 12:09:53.400000,2026-01-13 12:17:04.200000,7.18,0.0
88,25,Fresado y Corte Viga Cajón,panel,Completed,5,Puente 2,6,Juan Alex Elias Troncoso Cifuentes,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100009,4,Vigas Cajón,2026-01-13 12:17:04.200000,2026-01-13 12:29:46.200000,12.7,0.0
89,21,Instalación de vigas cajón ,panel,Completed,9,Puente 4,10,Alvaro Esteban Capilla Villarreol,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100009,4,Vigas Cajón,2026-01-13 12:58:57.600000,2026-01-13 13:14:31.800000,15.57,0.0
90,1,Armado Panel,panel,Completed,1,Framing,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100010,5,MW-1 (T 06-07-08-09-10-11),2026-01-13 11:12:13.200000,2026-01-13 11:29:45,17.53,0.0
91,2,Instalación nylon y planchas,panel,Completed,2,Mesa 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100010,5,MW-1 (T 06-07-08-09-10-11),2026-01-13 11:30:31.200000,2026-01-13 11:38:52.800000,8.36,0.0
92,7,Corcheteado Puente 1,panel,Completed,3,Puente 1,2,Luis Eugenio Gonzalez Opazo,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100010,5,MW-1 (T 06-07-08-09-10-11),2026-01-13 12:17:04.200000,2026-01-13 12:28:43.800000,11.66,0.0
93,6,Fijación de planchas y revisión de dilatación,panel,Completed,3,Puente 1,4,Yerko Alexander Paredes Astorga,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100010,5,MW-1 (T 06-07-08-09-10-11),2026-01-13 12:28:43.800000,2026-01-13 12:47:00.600000,18.28,0.0
94,8,Retape de Corchetes,panel,Completed,4,Mesa 2,14,Eduardo Andres Ormeño Parra,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100010,5,MW-1 (T 06-07-08-09-10-11),2026-01-13 12:47:00.600000,2026-01-13 13:00:52.200000,13.86,0.0
95,9,Fresado Puente 2 y Instalación cajas azules,panel,Completed,5,Puente 2,5,Jorge Dan Jara Domínguez,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100010,5,MW-1 (T 06-07-08-09-10-11),2026-01-13 13:00:52.200000,2026-01-13 13:12:55.200000,12.05,0.0
96,15,Corcheteado PLA,panel,Completed,7,Puente 3,9,Francisco Manuel Cares Riquelme,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100010,5,MW-1 (T 06-07-08-09-10-11),2026-01-13 13:12:55.200000,2026-01-13 13:22:55.200000,10.0,0.0
97,16,Fresado PLA,panel,Completed,7,Puente 3,11,Sergio Alejandro Reyes Fuentealba,900000,Synthetic-1,SYN-1-01,1,TH Jardines,2,1000001,1100010,5,MW-1 (T 06-07-08-09-10-11),2026-01-13 13:22:55.200000,2026-01-13 13:32:27.600000,9.54,0.0
